# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Dec 21 20:14:11 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: Kepler + SDSS <i>griz</i> + DDO51 (in ABmags)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
# >> NOTE: Davenport manually deleted data past bluest tip of the Main Sequence Turn-Off
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	1.0000e+09 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    Kepler  g       r       i       z       DDO51_finf	int_IMF	stage  J       H       Ks     U       B       V       R       I      
	0.019000	9.0000	0.64999998	0.6500	-1.0332	3.6066	4.6623	7.353	7.828	9.154	7.874	7.260	6.935	9.048	2.99236870	0	5.707	5.037	4.88	11.160	9.749	8.418	7.502	6.6803
	0.019000	9.0000	0.65562963	0.6556	-1.0155	3.6096	4.6607	7.309	7.766	9.075	7.802	7.206	6.892	8.978	2.99598837	1	5.670	5.000	4.85	11.086	9.668	8.345	7.436	6.6321
	0.019000	9.0000	0.69999999	0.7000	-0.8799	3.6342	4.6516	6.970	7.289	8.453	7.254	6.801	6.568	8.418	3.02253795	1	5.391	4.739	4.62	10.443	9.026	7.783	6.935	6.2742
	0.019000	9.0000	0.70556408	0.7056	-0.8626	3.6377	4.6521	6.927	7.226	8.367	7.182	6.749	6.528	8.337	3.02563882	1	5.357	4.710	4.59	10.342	8.936	7.707	6.870	6.2298
	0.019000	9.0000	0.75000000	0.7500	-0.7299	3.6648	4.6541	6.595	6.757	7.710	6.671	6.361	6.209	7.662	3.04879928	1	5.103	4.526	4.43	9.439	8.244	7.139	6.399	5.8794
	0.019000	9.0000	0.76582056	0.7658	-0.6880	3.6711	4.6466	6.490	6.624	7.533	6.535	6.246	6.106	7.471	3.05641532	1	5.017	4.461	4.37	9.186	8.058	6.984	6.270	5.7713
	0.019000	9.0000	0.80000001	0.8000	-0.6000	3.6845	4.6310	6.270	6.354	7.173	6.263	6.010	5.893	7.077	3.07187057	1	4.839	4.327	4.24	8.663	7.679	6.668	6.010	5.5456
	0.019000	9.0000	0.81536168	0.8153	-0.5608	3.6903	4.6232	6.172	6.237	7.019	6.146	5.906	5.800	6.912	3.07839584	1	4.760	4.266	4.18	8.444	7.518	6.533	5.897	5.4477
	0.019000	9.0000	0.88421923	0.8842	-0.3935	3.7154	4.5917	5.754	5.754	6.395	5.666	5.478	5.408	6.242	3.10479379	1	4.430	4.011	3.94	7.525	6.859	5.980	5.434	5.0333
	0.019000	9.0000	0.93421930	0.9342	-0.2783	3.7319	4.5664	5.466	5.436	5.998	5.351	5.191	5.143	5.828	3.12146688	1	4.204	3.830	3.76	6.946	6.438	5.625	5.128	4.7569
